SKU,Title,Category,LocalPath,AssetKind,Width,Height,Bytes,SHA256,Validation
PK-MU-921,Nyx Bright Idea Illuminating Stick,beauty-personal-care,wwwroot/images/products/pk-mu-921.webp,source-record-paired-photograph,600,600,16190,5121f0183191531480407a9e2e9fb3b035784435876b09567a59d0f834dca74f,valid
PK-MU-917,Nyx Bronzer & Blusher Combo,beauty-personal-care,wwwroot/images/products/pk-mu-917.webp,source-record-paired-photograph,600,600,13572,846433f534a42bd7a27b8417af2ceb59fdd44de05cf47c5e13ca585302678add,valid
PK-MU-982,Nyx Build 'Em Up Brow Powder,beauty-personal-care,wwwroot/images/products/pk-mu-982.webp,source-record-paired-photograph,600,600,10556,9f526b4b770137597c39728d5df4b941e565f25572e86174ee79b1527e87375f,valid
PK-MU-872,Nyx Butter Lipstick,beauty-personal-care,wwwroot/images/products/pk-mu-872.webp,source-record-paired-photograph,600,600,12524,b0328aaae752ea995609dbed64e79e57dc4856651da132fecea88368e695b819,valid
PK-MU-968,Nyx Cake That! Powder Eyeliner,beauty-personal-care,wwwroot/images/products/pk-mu-968.webp,source-record-paired-photograph,600,600,12324,84c5c20c47cf9431b3b92d0fef4254aee85b722579d7898e4ee3470fb29741ef,valid
PK-MU-923,Nyx Cheek Contour Duo Palette,beauty-personal-care,wwwroot/images/products/pk-mu-923.webp,source-record-paired-photograph,600,600,12698,417b74cbabea36973fd45b241847c45cf48a7854993c99b5ce28d1e9b17a51e1,valid
PK-MU-953,Nyx Collection Chocolate,beauty-personal-care,wwwroot/images/products/pk-mu-953.webp,source-record-paired-photograph,600,600,13416,4c45eef054eb433b222bc9e92f1d59f91f4743602f8222b0fa8a9029081ad9fd,valid
PK-MU-960,Nyx Collection Noir,beauty-personal-care,wwwroot/images/products/pk-mu-960.webp,source-record-paired-photograph,600,600,16210,88c0f82a1a8fd04ff945cffcee5a263d32f5e378f9b070f8a2bfb0e5febab097,valid
PK-MU-907,Nyx Color Correcting Palette,beauty-personal-care,wwwroot/images/products/pk-mu-907.webp,source-record-paired-photograph,600,600,5104,4a2f9f9c5e0a9e870e9e85f9a6780ae9d217e7b3a43f7f9c0b61007739809446,valid
PK-MU-935,Nyx Color Correcting Powder,beauty-personal-care,wwwroot/images/products/pk-mu-935.webp,source-record-paired-photograph,600,600,10936,68a5c010ff7708044a83463cc5d08a7e730c4f7e4931d48625f9640b74c8d90d,valid
PK-MU-989,Nyx Color Mascara,beauty-personal-care,wwwroot/images/products/pk-mu-989.webp,source-record-paired-photograph,600,600,11920,5963e954c4e6ef2c41f1edda95c3013c688d9700db28922edd476c078fe9b73f,valid
PK-MU-948,Nyx Colored Felt Tip Liner,beauty-personal-care,wwwroot/images/products/pk-mu-948.webp,source-record-paired-photograph,600,600,14562,dc225aeacb0e2231314d642d3d3942cec5bf2186212bc8e99935fab57e698571,valid
PK-MU-911,"Nyx Conceal, Correct, Contour Palette",beauty-personal-care,wwwroot/images/products/pk-mu-911.webp,source-record-paired-photograph,600,600,6308,abe604d965ed7ee781e384fba56abfba62d10deac3fab56f01018c0d4aa0c13a,valid
PK-MU-906,Nyx Concealer Jar,beauty-personal-care,wwwroot/images/products/pk-mu-906.webp,source-record-paired-photograph,600,600,9122,99c8ca0b4a2cd178fbaf7b3fe4d3bbfcde36a4a701d90aadbf7b01108f67c2eb,valid
